arm,seed,target,status,step,prefix_cost_upper_s
F_FULL,92711,0.24231983660315223,REACHED_AT_RECORDED_CHECKPOINT,64,107.95825969992438
F_TOP3,92711,0.24231983660315223,REACHED_AT_RECORDED_CHECKPOINT,128,88.67190939991269
E_EMLOC,92711,0.24231983660315223,REACHED_AT_RECORDED_CHECKPOINT,64,135.49230360006914
E_DELTA,92711,0.24231983660315223,REACHED_AT_RECORDED_CHECKPOINT,64,204.68763109960128
E_VALUE_DELTA,92711,0.24231983660315223,REACHED_AT_RECORDED_CHECKPOINT,64,214.67712530028075
E_RESPONSE_DELTA,92711,0.24231983660315223,REACHED_AT_RECORDED_CHECKPOINT,64,218.30341450014384
F_FULL,92712,0.24231983660315223,REACHED_AT_RECORDED_CHECKPOINT,128,191.8742994001368
F_TOP3,92712,0.24231983660315223,NOT_REACHED,,
E_EMLOC,92712,0.24231983660315223,REACHED_AT_RECORDED_CHECKPOINT,128,234.7930907998816
E_DELTA,92712,0.24231983660315223,REACHED_AT_RECORDED_CHECKPOINT,128,306.7341321996646
E_VALUE_DELTA,92712,0.24231983660315223,REACHED_AT_RECORDED_CHECKPOINT,128,315.1042820001603
E_RESPONSE_DELTA,92712,0.24231983660315223,REACHED_AT_RECORDED_CHECKPOINT,128,317.25777519936673
