concept,occurrences,event_store_units
Cantonizacion de Riobamba,1,1
Fundacion de Ibarra,1,1
Fundacion de Loja,1,1
Independencia de Guaranda,1,1
Cantonizacion de Cayambe,2,2
Cantonizacion de El Carmen,2,2
Cantonizacion de Guaranda,2,2
Fundacion de Ambato,1,2
Fundacion de Esmeraldas,2,2
Fundacion de Manta,1,2
Independencia de Ambato,1,2
Independencia de Latacunga,1,2
Provincializacion de Imbabura,2,2
Fundacion de Cuenca,1,3
Cantonizacion de Latacunga,2,4
Fundacion de Machala,2,4
Provincializacion de Cotopaxi,2,4
Fundacion de Santo Domingo,2,6
Fundacion de Guayaquil,2,16
Fundacion de Quito,1,18
Dia de la Madre,1,53
Independencia de Guayaquil,1,53
Navidad,1,53
Dia del Trabajo,1,54
Viernes Santo,2,104
Carnaval,2,106
Primer Grito de Independencia,2,107
Batalla de Pichincha,2,108
Primer dia del ano,2,108
