store_nbr,concept,eval_date,group_end_date,group_length_days,all_dates,holiday_row_ids,types,locales,locale_names,descriptions,city,state,concept_family,in_eval_window,earthquake_excluded,eval_day_store_sales,previous_28d_mean_store_sales,closure_ratio,closure_missing_preceding_days,closure_excluded,other_concept_window_start,other_concept_window_end,other_concept_overlap_excluded,other_concept_overlap_details,passed_c0,exclusion_reasons
52,Fundacion de Manta,2012-03-02,2012-03-02,1,2012-03-02,0,Holiday,Local,Manta,Fundacion de Manta,Manta,Manabi,Fundacion,False,False,0.0,0.0,,28,False,2012-02-27,2012-03-05,False,,False,outside_eval_window
53,Fundacion de Manta,2012-03-02,2012-03-02,1,2012-03-02,0,Holiday,Local,Manta,Fundacion de Manta,Manta,Manabi,Fundacion,False,False,0.0,0.0,,28,False,2012-02-27,2012-03-05,False,,False,outside_eval_window
12,Provincializacion de Cotopaxi,2012-04-01,2012-04-01,1,2012-04-01,1,Holiday,Regional,Cotopaxi,Provincializacion de Cotopaxi,Latacunga,Cotopaxi,Provincializacion,False,False,0.0,0.0,,28,False,2012-03-28,2012-04-04,False,,False,outside_eval_window
13,Provincializacion de Cotopaxi,2012-04-01,2012-04-01,1,2012-04-01,1,Holiday,Regional,Cotopaxi,Provincializacion de Cotopaxi,Latacunga,Cotopaxi,Provincializacion,False,False,0.0,0.0,,28,False,2012-03-28,2012-04-04,False,,False,outside_eval_window
37,Fundacion de Cuenca,2012-04-12,2012-04-12,1,2012-04-12,2,Holiday,Local,Cuenca,Fundacion de Cuenca,Cuenca,Azuay,Fundacion,False,False,0.0,0.0,,28,False,2012-04-08,2012-04-15,False,,False,outside_eval_window
39,Fundacion de Cuenca,2012-04-12,2012-04-12,1,2012-04-12,2,Holiday,Local,Cuenca,Fundacion de Cuenca,Cuenca,Azuay,Fundacion,False,False,0.0,0.0,,28,False,2012-04-08,2012-04-15,False,,False,outside_eval_window
42,Fundacion de Cuenca,2012-04-12,2012-04-12,1,2012-04-12,2,Holiday,Local,Cuenca,Fundacion de Cuenca,Cuenca,Azuay,Fundacion,False,False,0.0,0.0,,28,False,2012-04-08,2012-04-15,False,,False,outside_eval_window
36,Cantonizacion de Libertad,2012-04-14,2012-04-14,1,2012-04-14,3,Holiday,Local,Libertad,Cantonizacion de Libertad,Libertad,Guayas,Cantonizacion,False,False,0.0,0.0,,28,False,2012-04-10,2012-04-17,False,,False,outside_eval_window
14,Cantonizacion de Riobamba,2012-04-21,2012-04-21,1,2012-04-21,4,Holiday,Local,Riobamba,Cantonizacion de Riobamba,Riobamba,Chimborazo,Cantonizacion,False,False,0.0,0.0,,28,False,2012-04-17,2012-04-24,False,,False,outside_eval_window
22,Cantonizacion del Puyo,2012-05-12,2012-05-12,1,2012-05-12,5,Holiday,Local,Puyo,Cantonizacion del Puyo,Puyo,Pastaza,Cantonizacion,False,False,0.0,0.0,,28,False,2012-05-08,2012-05-15,False,,False,outside_eval_window
19,Cantonizacion de Guaranda,2012-06-23,2012-06-23,1,2012-06-23,6,Holiday,Local,Guaranda,Cantonizacion de Guaranda,Guaranda,Bolivar,Cantonizacion,False,False,0.0,0.0,,28,False,2012-06-19,2012-06-26,False,,False,outside_eval_window
12,Cantonizacion de Latacunga,2012-06-25,2012-06-25,1,2012-06-25,8,Holiday,Local,Latacunga,Cantonizacion de Latacunga,Latacunga,Cotopaxi,Cantonizacion,False,False,0.0,0.0,,28,False,2012-06-21,2012-06-28,False,,False,outside_eval_window
13,Cantonizacion de Latacunga,2012-06-25,2012-06-25,1,2012-06-25,8,Holiday,Local,Latacunga,Cantonizacion de Latacunga,Latacunga,Cotopaxi,Cantonizacion,False,False,0.0,0.0,,28,False,2012-06-21,2012-06-28,False,,False,outside_eval_window
40,Fundacion de Machala,2012-06-25,2012-06-25,1,2012-06-25,9,Holiday,Local,Machala,Fundacion de Machala,Machala,El Oro,Fundacion,False,False,0.0,0.0,,28,False,2012-06-21,2012-06-28,False,,False,outside_eval_window
41,Fundacion de Machala,2012-06-25,2012-06-25,1,2012-06-25,9,Holiday,Local,Machala,Fundacion de Machala,Machala,El Oro,Fundacion,False,False,0.0,0.0,,28,False,2012-06-21,2012-06-28,False,,False,outside_eval_window
15,Provincializacion de Imbabura,2012-06-25,2012-06-25,1,2012-06-25,7,Holiday,Regional,Imbabura,Provincializacion de Imbabura,Ibarra,Imbabura,Provincializacion,False,False,0.0,0.0,,28,False,2012-06-21,2012-06-28,False,,False,outside_eval_window
54,Cantonizacion de El Carmen,2012-07-03,2012-07-03,1,2012-07-03,11,Holiday,Local,El Carmen,Cantonizacion de El Carmen,El Carmen,Manabi,Cantonizacion,False,False,0.0,0.0,,28,False,2012-06-29,2012-07-06,False,,False,outside_eval_window
5,Fundacion de Santo Domingo,2012-07-03,2012-07-03,1,2012-07-03,10,Holiday,Local,Santo Domingo,Fundacion de Santo Domingo,Santo Domingo,Santo Domingo de los Tsachilas,Fundacion,False,False,0.0,0.0,,28,False,2012-06-29,2012-07-06,False,,False,outside_eval_window
16,Fundacion de Santo Domingo,2012-07-03,2012-07-03,1,2012-07-03,10,Holiday,Local,Santo Domingo,Fundacion de Santo Domingo,Santo Domingo,Santo Domingo de los Tsachilas,Fundacion,False,False,0.0,0.0,,28,False,2012-06-29,2012-07-06,False,,False,outside_eval_window
21,Fundacion de Santo Domingo,2012-07-03,2012-07-03,1,2012-07-03,10,Holiday,Local,Santo Domingo,Fundacion de Santo Domingo,Santo Domingo,Santo Domingo de los Tsachilas,Fundacion,False,False,0.0,0.0,,28,False,2012-06-29,2012-07-06,False,,False,outside_eval_window
11,Cantonizacion de Cayambe,2012-07-23,2012-07-23,1,2012-07-23,12,Holiday,Local,Cayambe,Cantonizacion de Cayambe,Cayambe,Pichincha,Cantonizacion,False,False,0.0,0.0,,28,False,2012-07-19,2012-07-26,False,,False,outside_eval_window
43,Fundacion de Esmeraldas,2012-08-05,2012-08-05,1,2012-08-05,13,Holiday,Local,Esmeraldas,Fundacion de Esmeraldas,Esmeraldas,Esmeraldas,Fundacion,False,False,0.0,0.0,,28,False,2012-08-01,2012-08-08,False,,False,outside_eval_window
1,Primer Grito de Independencia,2012-08-10,2012-08-10,1,2012-08-10,14,Holiday,National,Ecuador,Primer Grito de Independencia,Quito,Pichincha,,False,False,0.0,0.0,,28,False,2012-08-06,2012-08-13,False,,False,outside_eval_window
2,Primer Grito de Independencia,2012-08-10,2012-08-10,1,2012-08-10,14,Holiday,National,Ecuador,Primer Grito de Independencia,Quito,Pichincha,,False,False,0.0,0.0,,28,False,2012-08-06,2012-08-13,False,,False,outside_eval_window
3,Primer Grito de Independencia,2012-08-10,2012-08-10,1,2012-08-10,14,Holiday,National,Ecuador,Primer Grito de Independencia,Quito,Pichincha,,False,False,0.0,0.0,,28,False,2012-08-06,2012-08-13,False,,False,outside_eval_window
4,Primer Grito de Independencia,2012-08-10,2012-08-10,1,2012-08-10,14,Holiday,National,Ecuador,Primer Grito de Independencia,Quito,Pichincha,,False,False,0.0,0.0,,28,False,2012-08-06,2012-08-13,False,,False,outside_eval_window
5,Primer Grito de Independencia,2012-08-10,2012-08-10,1,2012-08-10,14,Holiday,National,Ecuador,Primer Grito de Independencia,Santo Domingo,Santo Domingo de los Tsachilas,,False,False,0.0,0.0,,28,False,2012-08-06,2012-08-13,False,,False,outside_eval_window
6,Primer Grito de Independencia,2012-08-10,2012-08-10,1,2012-08-10,14,Holiday,National,Ecuador,Primer Grito de Independencia,Quito,Pichincha,,False,False,0.0,0.0,,28,False,2012-08-06,2012-08-13,False,,False,outside_eval_window
