holiday_row_id,date,type,locale,locale_name,description,transferred,concept,removed_prefixes,normalization_flags,case_insensitive_concept,case_insensitive_removed_prefixes,concept_family,excluded_before_application,pre_application_exclusion_reason
0,2012-03-02,Holiday,Local,Manta,Fundacion de Manta,False,Fundacion de Manta,,,Fundacion de Manta,,Fundacion,False,
1,2012-04-01,Holiday,Regional,Cotopaxi,Provincializacion de Cotopaxi,False,Provincializacion de Cotopaxi,,,Provincializacion de Cotopaxi,,Provincializacion,False,
2,2012-04-12,Holiday,Local,Cuenca,Fundacion de Cuenca,False,Fundacion de Cuenca,,,Fundacion de Cuenca,,Fundacion,False,
3,2012-04-14,Holiday,Local,Libertad,Cantonizacion de Libertad,False,Cantonizacion de Libertad,,,Cantonizacion de Libertad,,Cantonizacion,False,
4,2012-04-21,Holiday,Local,Riobamba,Cantonizacion de Riobamba,False,Cantonizacion de Riobamba,,,Cantonizacion de Riobamba,,Cantonizacion,False,
5,2012-05-12,Holiday,Local,Puyo,Cantonizacion del Puyo,False,Cantonizacion del Puyo,,,Cantonizacion del Puyo,,Cantonizacion,False,
6,2012-06-23,Holiday,Local,Guaranda,Cantonizacion de Guaranda,False,Cantonizacion de Guaranda,,,Cantonizacion de Guaranda,,Cantonizacion,False,
7,2012-06-25,Holiday,Regional,Imbabura,Provincializacion de Imbabura,False,Provincializacion de Imbabura,,,Provincializacion de Imbabura,,Provincializacion,False,
8,2012-06-25,Holiday,Local,Latacunga,Cantonizacion de Latacunga,False,Cantonizacion de Latacunga,,,Cantonizacion de Latacunga,,Cantonizacion,False,
9,2012-06-25,Holiday,Local,Machala,Fundacion de Machala,False,Fundacion de Machala,,,Fundacion de Machala,,Fundacion,False,
10,2012-07-03,Holiday,Local,Santo Domingo,Fundacion de Santo Domingo,False,Fundacion de Santo Domingo,,,Fundacion de Santo Domingo,,Fundacion,False,
11,2012-07-03,Holiday,Local,El Carmen,Cantonizacion de El Carmen,False,Cantonizacion de El Carmen,,,Cantonizacion de El Carmen,,Cantonizacion,False,
12,2012-07-23,Holiday,Local,Cayambe,Cantonizacion de Cayambe,False,Cantonizacion de Cayambe,,,Cantonizacion de Cayambe,,Cantonizacion,False,
13,2012-08-05,Holiday,Local,Esmeraldas,Fundacion de Esmeraldas,False,Fundacion de Esmeraldas,,,Fundacion de Esmeraldas,,Fundacion,False,
14,2012-08-10,Holiday,National,Ecuador,Primer Grito de Independencia,False,Primer Grito de Independencia,,,Primer Grito de Independencia,,,False,
15,2012-08-15,Holiday,Local,Riobamba,Fundacion de Riobamba,False,Fundacion de Riobamba,,,Fundacion de Riobamba,,Fundacion,False,
16,2012-08-24,Holiday,Local,Ambato,Fundacion de Ambato,False,Fundacion de Ambato,,,Fundacion de Ambato,,Fundacion,False,
17,2012-09-28,Holiday,Local,Ibarra,Fundacion de Ibarra,False,Fundacion de Ibarra,,,Fundacion de Ibarra,,Fundacion,False,
18,2012-10-07,Holiday,Local,Quevedo,Cantonizacion de Quevedo,False,Cantonizacion de Quevedo,,,Cantonizacion de Quevedo,,Cantonizacion,False,
